Project ID,Sample ID,Site,Age,DNA tested,Sex,Adult (Y/N/unknown),Y-chr Haplogroup,mtDNA Haplogroup,Confirmed Kin,Sample ID for kin,Notes,Site Group
Knobbs_1,KNF001,Knobbs 1,Non-Adult,Y,(M),N,,too low coverage,No,,,Knobbs
Knobbs_2,F.162,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_3,F.163,Knobbs 2,Non-Adult,N,indet.,N,,,No,,,Knobbs
Knobbs_4,F.164,Knobbs 2,Adult,Y,F,Y,,H5,No,,re-used grave of Sk 320,Knobbs
Knobbs_5,KNF004,Knobbs 1,Adult,Y,F,Y,,H,No,,extra lumbar vertebra - later burial with Sk 319,Knobbs
Knobbs_6,F.165,Knobbs 2,Adult,N,M,Y,,,No,,reused grave of Sk324,Knobbs
Knobbs_7,KNF005,Knobbs 1,Adult,Y,(F),Y,,too low coverage,No,,,Knobbs
Knobbs_8,KNF006,Knobbs 1,Adult,Y,M,Y,R1b-S9294,H1i1,No,,extra lumbar vertabra,Knobbs
Knobbs_9,F.509,Knobbs 2,Adult,N,M,Y,,,No,,,Knobbs
Knobbs_10,KNF008,Knobbs 2,Adult,Y,(F),Y,,too low coverage,No,,,Knobbs
Knobbs_11,F.715,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_12,F.930,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_13,F.931,Knobbs 2,Adult,N,(M),Y,,,No,,,Knobbs
Knobbs_14,F.932,Knobbs 2,Adult,N,indet.,Y,,,No,,double burial with 1307,Knobbs
Knobbs_15,KNF010,Knobbs 2,Adult,Y,M,Y,,too low coverage,No,,double burial with 1306,Knobbs
Knobbs_16,F.933,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_17,F.935,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_18,F.935,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_19,F.937,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_20,F.938,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_21,F.939,Knobbs 2,Adult,N,F,Y,,,No,,,Knobbs
Knobbs_22,F.940,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_23,KNF012,Knobbs 2,Adult,Y,F,Y,,too low coverage,No,,,Knobbs
Knobbs_24,KNF013,Knobbs 1,Adult,Y,F,Y,,H3+152,No,,Double burial with Skeleton 1352,Knobbs
Knobbs_25,KNF014,Knobbs 1,Adult,Y,M,Y,R1b-Z202,H17,No,,,Knobbs
Knobbs_26,KNF015,Knobbs 1,Adult,Y,F,Y,,H3,No,,,Knobbs
Knobbs_27,KNF016,Knobbs 2,Adult,Y,F,Y,,too low coverage,No,,,Knobbs
Knobbs_28,F.942,Knobbs 3,Adult,N,F,Y,,,No,,Double burial with Skeleton 1338,Knobbs
Knobbs_29,KNF018,Knobbs 1,Adult,Y,F,Y,,H26,No,,,Knobbs
Knobbs_30,F.947,Knobbs 2,Unknown,N,indet.,unknown,,,No,,,Knobbs
Knobbs_31,F.948,Knobbs 2,Adult,N,M?,Y,,,No,,,Knobbs
Knobbs_32,KNF019,Knobbs 2,Adult,Y,M,Y,,too low coverage,No,,,Knobbs
Knobbs_33,KNF020,Knobbs 1,Adult,Y,M,Y,R1b-M269,J1c1e,No,,,Knobbs
Knobbs_34,KNF021,Knobbs 2,Adult,Y,F?,Y,,too low coverage,No,,,Knobbs
Knobbs_35,F.953,Knobbs 2,Adult,N,M,Y,,,No,,,Knobbs
Knobbs_36,F.954,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_37,F.955,Knobbs 2,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_38,F.956,Knobbs 3,Non-Adult,N,indet.,N,,,No,,,Knobbs
Knobbs_39,F.957,Knobbs 3,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_40,F.958,Knobbs 3,Adult,N,F,Y,,,No,,,Knobbs
Knobbs_41,F.959,Knobbs 3,Adult,N,M/,Y,,,No,,,Knobbs
Knobbs_42,F.960,Knobbs 3,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_43,F.963,Knobbs 3,Unknown,N,indet.,unknown,,,No,,,Knobbs
Knobbs_44,F.964,Knobbs 3,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_45,F.965,Knobbs 3,Adult,N,M?,Y,,,No,,,Knobbs
Knobbs_46,F.961,Knobbs 3,Adult,N,M,Y,,,No,,,Knobbs
Knobbs_47,KNF030,Knobbs 2,Adult,Y,(F),Y,,too low coverage,No,,,Knobbs
Knobbs_48,KNF031,Knobbs 1,Adult,Y,F,Y,,H2a2a,No,,,Knobbs
Knobbs_49,F.1098,Knobbs 3,Adult,N,indet.,Y,,,No,,,Knobbs
Knobbs_50,KNF032,Knobbs 1,Adult,Y,F,Y,,J1c5,No,,,Knobbs
Knobbs_51,KNF029,Knobbs 2,Adult,Y,F?,Y,,too low coverage,No,,,Knobbs
Knobbs_52,F.936,Knobbs 2,Unknown,N,n.a.,unknown,,,No,,no bone found - grave only,Knobbs
Knobbs_53,F.165,Knobbs 2,Adult,N,F,Y,,,No,,disarticulated bone in grave (2nd burial),Knobbs
Knobbs_54,F.934,Knobbs 2,Unknown,N,n.a.,unknown,,,No,,no bone found - grave only,Knobbs
