scenario,run_id,total_individuals,mean_y_diversity,mean_mt_diversity,fst_y,fst_mt,prop_father_son,prop_mother_daughter,prop_siblings
patrilocal,patrilocal_20250918_142022_0001,5,0.0,0.41666666666666663,0.0,0.04761904761904776,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142022_0000,7,0.5,0.5833333333333333,0.0,0.0,0.0,0.14285714285714285,0.0
patrilocal,patrilocal_20250918_142022_0002,12,0.1666666666666666,0.7333333333333332,3.7470027081099033e-16,0.0,0.16666666666666666,0.0,0.0
patrilocal,patrilocal_20250918_142022_0003,10,0.5,0.6333333333333333,0.0,0.027586206896552067,0.0,0.0,0.0
patrilocal,patrilocal_20250918_142022_0004,12,0.0,0.46666666666666656,0.0,0.0,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142022_0000,16,0.0,0.5384615384615383,0.0,0.0,0.0,0.0,0.0625
matrilocal,matrilocal_20250918_142022_0001,11,0.0,0.75,1.0,0.02439024390243918,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142022_0002,14,0.7333333333333332,0.7166666666666666,0.0,0.0,0.0,0.0,0.0
matrilocal,matrilocal_20250918_142022_0003,14,0.0,0.31060606060606055,0.0,0.04991087344028511,0.14285714285714285,0.0,0.0
matrilocal,matrilocal_20250918_142022_0004,10,0.26190476190476186,0.7321428571428571,0.012820512820512896,0.0,0.0,0.0,0.0
mixed,mixed_20250918_142022_0000,14,0.6666666666666666,0.7142857142857143,0.15151515151515155,0.0,0.0,0.0,0.07142857142857142
mixed,mixed_20250918_142022_0001,11,0.8333333333333333,0.5357142857142858,0.0,0.032258064516128844,0.09090909090909091,0.0,0.09090909090909091
mixed,mixed_20250918_142022_0002,6,0.41666666666666663,0.3,0.25925925925925924,0.31818181818181823,0.0,0.0,0.0
mixed,mixed_20250918_142022_0003,12,0.1999999999999999,0.557142857142857,7.771561172376093e-16,0.0,0.0,0.0,0.0
mixed,mixed_20250918_142022_0004,10,0.25,0.20833333333333331,0.0,0.007352941176470417,0.0,0.1,0.0
